date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:28:40	461/461	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%226789742d-38c%22	https://robots.txt		(from )
17:28:41	100996/100996	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2001:28:46%20GMT	https://	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025//index.html	(from )
17:28:42	182011/182011	---M-Z	200	added ('OK')	text/css	etag:%2242f583230893172f13349d6d8ac99558%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/css/broadstone-landscape.543328a1e.css	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/css/broadstone-landscape.543328a1e.css	(from https://)
17:28:42	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Feb%202025%2001:28:46%20GMT	https://fonts.gstatic.com/	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/fonts.gstatic.com/index.html	(from https://)
17:28:42	13188/13188	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://)
17:28:42	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Feb%202025%2001:28:46%20GMT	https://fonts.googleapis.com/	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/fonts.googleapis.com/index.html	(from https://)
17:28:42	1078/1078	---M--	200	added ('OK')	image/png	etag:%22cb1019ebb7654b80fff14e3f6deb5e09%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/6723d6318710b0e3bee7eed9_Frame%201413372150.png	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/6723d6318710b0e3bee7eed9_Frame%201413372150.png	(from https://)
17:28:42	23505/23505	---M--	200	added ('OK')	image/png	etag:%22a79e930d7d673743e7530a13c9084bc6%22	https://cdn.prod.website-files.com/671a91ee07626cd6dad29988/6723d6326467b3f5205c0714_Frame%201413372151.png	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/cdn.prod.website-files.com/671a91ee07626cd6dad29988/6723d6326467b3f5205c0714_Frame%201413372151.png	(from https://)
17:28:43	342787/342787	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2007%20Feb%202025%2001:28:47%20GMT	https://www.googletagmanager.com/gtag/js?id=G-1234567890	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/www.googletagmanager.com/gtag/js67d2	(from https://)
17:28:45	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2007%20Feb%202025%2001:28:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Website%20Development%20Feb%202025/Broadstone%20Feb%206%202025/Broadstone%20Feb%206%202025/www.googletagmanager.com/gtm.55445.delayed	(from https://)
